,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
84,Hyundai,VENUES MT Turbo GDI 1.0L,859999,2020,Hyderabad,Petrol,41145,Manual,1,19130
85,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,466799,2014,Hyderabad,Petrol,46266,Manual,2,10384
86,Maruti,SwiftVXI AMT,649199,2018,Hyderabad,Petrol,87828,Automatic,1,14441
87,Renault,KwidRXT 1.0 EASY-R  AT,369099,2017,Hyderabad,Petrol,66141,Automatic,3,8210
88,Hyundai,EonERA PLUS,292799,2013,Hyderabad,Petrol,61733,Manual,2,6513
89,Hyundai,EonERA PLUS,287799,2013,Hyderabad,Petrol,62130,Manual,2,6402
90,Maruti,Alto K10VXI,421199,2018,Hyderabad,Petrol,6593,Manual,1,9369
91,Hyundai,Elite i20Magna Executive Diesel,651899,2018,Hyderabad,Diesel,86131,Manual,2,14501
92,Hyundai,i10SPORTZ 1.1 IRDE2,430899,2016,Hyderabad,Petrol,45568,Manual,1,9585
93,Toyota,,1007899,2020,Hyderabad,Petrol,33407,,1,22420
94,Volkswagen,PoloHIGHLINE PLUS 1.0 TSI AT,1056499,2021,Hyderabad,Petrol,6018,Automatic,1,23501
95,Honda,Brio1.2 S MT I VTEC,387399,2013,Hyderabad,Petrol,51232,Manual,2,8617
96,Hyundai,EonERA PLUS,292799,2014,Hyderabad,Petrol,75885,Manual,2,6513
97,Hyundai,i10MAGNA 1.2 KAPPA2,353599,2013,Hyderabad,Petrol,95941,Manual,1,7866
98,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,514199,2016,Hyderabad,Petrol,22482,Manual,1,11438
99,Volkswagen,PoloCOMFORTLINE 1.0 PETROL,635899,2019,Hyderabad,Petrol,48255,Manual,1,14145
100,Hyundai,Creta1.4 S CRDI,979099,2018,Hyderabad,Diesel,69054,Manual,1,21780
101,Maruti,CelerioZXI AMT,426199,2015,Hyderabad,Petrol,67341,Automatic,1,9481
102,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,456799,2014,Hyderabad,Petrol,83083,Manual,2,10161
103,Tata,TiagoXZA 1.2 REVOTRON,578599,2019,Hyderabad,Petrol,13014,Automatic,2,12871
104,Hyundai,i20MAGNA O 1.2,405399,2013,Hyderabad,Petrol,44412,Manual,2,9018
105,Hyundai,Elite i20ASTA 1.2,614199,2016,Hyderabad,Petrol,45853,Manual,3,13663
106,Hyundai,AccentEXECUTIVE,252099,2009,Hyderabad,Petrol,83761,Manual,2,5608
107,Maruti,CelerioZXI,500299,2018,Hyderabad,Petrol,57606,Manual,1,11129
108,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,527799,2016,Hyderabad,Petrol,11930,Manual,1,11741
109,Honda,Jazz1.2 VX I-VTECH,584199,2015,Hyderabad,Petrol,77876,Manual,1,12995
110,Mahindra,XUV500W9,1563199,2020,Hyderabad,Diesel,38535,Manual,1,34772
111,Skoda,Rapid1.6 MPI STYLE AT,903799,2017,Hyderabad,Petrol,43390,Automatic,2,20105
112,Honda,CityV MT PETROL,601399,2014,Hyderabad,Petrol,54297,Manual,1,13378
113,Honda,Jazz1.2 S MT,531499,2017,Hyderabad,Petrol,46974,Manual,1,11823
114,Maruti,Eeco5 STR WITH AC PLUSHTR,484199,2019,Hyderabad,Petrol,12138,Manual,1,10771
115,Hyundai,NEW SANTRO1.1 MAGNA MT,499899,2019,Hyderabad,Petrol,19248,Manual,1,11120
116,Maruti,Alto 800LXI,296999,2017,Hyderabad,Petrol,67522,Manual,1,6607
117,Mahindra,ScorpioS11,1979599,2021,Hyderabad,Diesel,43923,Manual,1,44035
118,Maruti,Eeco5 STR WITH AC PLUSHTR,486599,2019,Hyderabad,Petrol,6946,Manual,1,10824
119,Ford,Ecosport1.5TITANIUM TDCI,997399,2020,Hyderabad,Diesel,19068,Manual,2,22187
120,Hyundai,Elite i201.2 MAGNA PLUS VTVT,673249,2019,Hyderabad,Petrol,61148,Manual,1,14976
121,Maruti,S CrossDELTA SHVS,1083099,2020,Hyderabad,Diesel,32921,Manual,1,24093
122,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,465999,2016,Hyderabad,Petrol,57315,Manual,1,10366
123,Maruti,New  Wagon-RVXI 1.0,529499,2019,Hyderabad,Petrol,39641,Manual,1,11778
124,Renault,DusterRXZ,1051199,2020,Hyderabad,Petrol,7232,Manual,1,23383
125,Maruti,New  Wagon-RZXI 1.2,654299,2021,Hyderabad,Petrol,8752,Manual,1,14555
126,Maruti,DzireVXI,729799,2021,Hyderabad,Petrol,3636,Manual,1,16234
127,Hyundai,EonERA PLUS,327199,2016,Hyderabad,Petrol,25485,Manual,1,7278
128,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,460199,2015,Hyderabad,Petrol,50157,Manual,2,10237
129,Hyundai,Grand i10SPORTZ O 1.2,566099,2018,Hyderabad,Petrol,26188,Manual,1,12593
130,Maruti,Wagon R 1.0LXI,278899,2011,Hyderabad,Petrol,57490,Manual,1,6204
131,Honda,CityV MT PETROL,601399,2013,Hyderabad,Petrol,34987,Manual,1,13378
132,Honda,Jazz1.2 VX I-VTECH,587399,2015,Hyderabad,Petrol,84515,Manual,1,13066
133,Honda,Jazz1.2 V MT,560599,2017,Hyderabad,Petrol,83510,Manual,1,12470
134,Maruti,Celerio XZXI OPT AMT,540899,2019,Hyderabad,Petrol,29598,Automatic,1,12032
135,KIA,SELTOSGTK 1.4 GDI PETROL,1444399,2020,Hyderabad,Petrol,26592,Manual,1,32130
136,Maruti,Alto K10VXI,441499,2019,Hyderabad,Petrol,5851,Manual,1,9821
137,Hyundai,Grand i10MAGNA 1.2 VTVT,395499,2013,Hyderabad,Petrol,45258,Manual,1,8798
138,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,472499,2016,Hyderabad,Petrol,71464,Manual,1,10510
139,Hyundai,Elite i201.2 SPORTS PLUS VTVT,760899,2020,Hyderabad,Petrol,58748,Manual,1,16926
140,Hyundai,Grand i10ASTA 1.2 CRDI,515799,2018,Hyderabad,Diesel,79493,Manual,2,11474
141,Maruti,Alto K10VXI,330699,2017,Hyderabad,Petrol,89973,Manual,2,7356
142,Maruti,SwiftZXI,647999,2017,Hyderabad,Petrol,45599,Manual,2,14414
143,Tata,TiagoXZ+ 1.2 Revotron,623899,2019,Hyderabad,Petrol,25841,Manual,1,13878
144,Hyundai,Elite i201.2 SPORTS PLUS VTVT,701999,2019,Hyderabad,Petrol,26336,Manual,1,15616
145,Hyundai,Grand i10Magna 1.2 AT  VTVT,491799,2016,Hyderabad,Petrol,84037,Automatic,1,10940
146,Toyota,EtiosG SP,327799,2011,Hyderabad,Petrol,63826,Manual,1,7292
147,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,444399,2015,Hyderabad,Petrol,74864,Manual,1,9885
148,Maruti,Alto 800LXI,309099,2017,Hyderabad,Petrol,34048,Manual,2,6876
149,Maruti,Eeco5 STR WITH AC PLUSHTR,470999,2019,Hyderabad,Petrol,43076,Manual,2,10477
150,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,454399,2014,Hyderabad,Petrol,43506,Manual,1,10108
151,Honda,Amaze1.2 VXMT I VTEC,426399,2013,Hyderabad,Petrol,89540,Manual,2,9485
152,Tata,NEXONXZA + 1.2 PETROL A/T,1152999,2021,Hyderabad,Petrol,14637,Automatic,1,25648
153,Volkswagen,PoloHIGHLINE PLUS 1.0 TSI AT,989099,2021,Hyderabad,Petrol,21885,Automatic,1,22002
154,Renault,TRIBER1.0 RXL PETROL,659899,2021,Hyderabad,Petrol,17148,Manual,1,14679
155,Hyundai,VENUE1.0 TURBO GDI S IMT,970599,2021,Hyderabad,Petrol,3273,Manual,1,21590
156,Toyota,Fortuner3.0 MT 4X4,849799,2009,Hyderabad,Diesel,217011,Manual,2,18903
157,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,547499,2018,Hyderabad,Petrol,46262,Manual,2,12179
158,Tata,TiagoXZA 1.2 REVOTRON,514999,2018,Hyderabad,Petrol,73053,Automatic,2,11456
159,Skoda,RapidStyle 1.5 TDI AT,759599,2018,Hyderabad,Diesel,75836,Automatic,1,16897
160,Hyundai,EonERA PLUS,309699,2015,Hyderabad,Petrol,76784,Manual,2,6889
161,Maruti,Alto 800LXI,347699,2018,Hyderabad,Petrol,14510,Manual,3,7734
162,Maruti,Vitara BrezzaZXI+ DUAL TONE,942299,2020,Hyderabad,Petrol,78551,Manual,1,20961
163,Mahindra,XUV500W9,1563199,2019,Hyderabad,Diesel,71000,Manual,1,34772
164,Honda,Amaze1.2 VXMT I VTEC,568899,2017,Hyderabad,Petrol,31687,Manual,2,12655
165,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,523599,2018,Hyderabad,Petrol,96782,Manual,1,11647
166,Maruti,New  Wagon-R1.0 Lxi (o) cng,546499,2019,Hyderabad,Petrol + CNG,41440,Manual,1,12157
167,Maruti,Eeco5 STR WITH AC PLUSHTR,486599,2019,Hyderabad,Petrol,19406,Manual,1,10824
168,Honda,Jazz1.5 SV I DTEC,688059,2018,Hyderabad,Diesel,80871,Manual,2,15305
169,Honda,Brio1.2 S MT I VTEC,390599,2015,Hyderabad,Petrol,82845,Manual,1,8689
170,Mahindra,XUV500W11 (O),1757899,2021,Hyderabad,Diesel,55775,Manual,1,39103
171,Maruti,Wagon R 1.0VXI,465799,2018,Hyderabad,Petrol,12453,Manual,3,10361
172,Mahindra,XUV500W9,1388499,2018,Hyderabad,Diesel,98361,Manual,1,30886
173,Maruti,Wagon R 1.0VXI,382199,2016,Hyderabad,Petrol,65526,Manual,1,8502
174,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,496199,2016,Hyderabad,Petrol,42389,Manual,2,11038
175,Honda,Brio1.2 VX MT I VTEC,507799,2017,Hyderabad,Petrol,29823,Manual,1,11296
176,Hyundai,Creta1.6 SX PLUS DIESEL,1229899,2017,Hyderabad,Diesel,78569,Manual,1,27358
177,Hyundai,i20 Active1.4 SX,697399,2016,Hyderabad,Diesel,84634,Manual,2,15513
178,Maruti,DzireVXI,678799,2018,Hyderabad,Petrol,19188,Manual,1,15100
179,Tata,NEXONXZ 1.2,1022199,2022,Hyderabad,Petrol,4382,Manual,1,22738
180,Maruti,CiazSIGMA 1.4 VVT,677599,2017,Hyderabad,Petrol,75329,Manual,2,15073
181,Maruti,BalenoALPHA 1.2 K12,621999,2016,Hyderabad,Petrol,37446,Manual,2,13836
182,Volkswagen,AmeoTrendline 1.0,505099,2019,Hyderabad,Petrol,77643,Manual,1,11236
183,Hyundai,Creta1.4 S PLUS CRDI,938199,2017,Hyderabad,Diesel,94930,Manual,1,20870
184,Skoda,RapidSTYLE 1.6 MPI MT,957599,2020,Hyderabad,Petrol,20517,Manual,1,21301
185,Honda,Jazz1.2 V AT,677899,2016,Hyderabad,Petrol,42524,Automatic,2,15079
186,KIA,SELTOSGTX + AT PETROL,1773699,2019,Hyderabad,Petrol,45343,Automatic,1,39455
187,Maruti,Alto 800LXI,301099,2017,Hyderabad,Petrol,58232,Manual,1,6698
188,Volkswagen,PoloHIGH LINE PLUS 1.0,966399,2021,Hyderabad,Petrol,20397,Manual,1,21497
189,Hyundai,EonMAGNA PLUS,310499,2014,Hyderabad,Petrol,36282,Manual,1,6907
190,Datsun,Redi GoT (O),298899,2017,Hyderabad,Petrol,41422,Manual,1,6649
191,Maruti,Vitara BrezzaZXI,1058699,2021,Hyderabad,Petrol,32272,Manual,1,23550
192,Maruti,BalenoSIGMA 1.2 K12,497199,2016,Hyderabad,Petrol,56772,Manual,1,11060
193,Maruti,CiazVDI+ SHVS,710699,2018,Hyderabad,Diesel,97802,Manual,1,15809
194,Hyundai,i20SPORTZ 1.4 CRDI,527699,2014,Hyderabad,Diesel,91606,Manual,2,11738
195,Mahindra,TharCRDE 4X4 BS IV,781699,2017,Hyderabad,Diesel,46157,Manual,2,17388
196,Honda,Jazz1.2 VX I-VTECH,577199,2015,Hyderabad,Petrol,82373,Manual,3,12839
197,Maruti,Wagon R 1.0VXI,423799,2018,Hyderabad,Petrol,43922,Manual,2,9427
198,Maruti,BalenoZETA DDIS 190,663599,2017,Hyderabad,Diesel,51253,Manual,1,14761
199,Datsun,Redi Go1.0 T(O) AT,533399,2021,Hyderabad,Petrol,17487,Automatic,1,11865
200,Honda,CityVX MT PETROL,687099,2015,Hyderabad,Petrol,71857,Manual,2,15284
201,Hyundai,Grand i10MAGNA 1.2 VTVT,594599,2019,Hyderabad,Petrol,96631,Manual,1,13227
202,Ford,Ecosport1.5 TITANIUM TI VCT,569299,2015,Hyderabad,Petrol,69820,Manual,1,12664
203,Maruti,Wagon R 1.0VXI,412199,2017,Hyderabad,Petrol,43102,Manual,2,9169
204,Datsun,Redi Go1.0 T(O) AT,327099,2019,Hyderabad,Petrol,80778,Automatic,1,7276
205,Maruti,Wagon R 1.0VXI,329099,2013,Hyderabad,Petrol,54727,Manual,2,7321
206,Maruti,Wagon R 1.0VXI,371099,2015,Hyderabad,Petrol,56833,Manual,1,8255
207,Hyundai,Creta1.6 VTVT SX AUTO,1308199,2018,Hyderabad,Petrol,20775,Automatic,2,29100
208,Tata,NEXONXZ+ 1.2,1112699,2021,Hyderabad,Petrol,14248,Manual,1,24751
209,Maruti,Wagon R 1.0VXI,433399,2018,Hyderabad,Petrol,53601,Manual,1,9641
210,Maruti,AltoVXI,445199,2021,Hyderabad,Petrol,3373,Manual,1,9903
211,Maruti,Wagon R 1.0VXI,431199,2017,Hyderabad,Petrol,57522,Manual,1,9592
212,Hyundai,Elite i20ASTA 1.2,673499,2017,Hyderabad,Petrol,35538,Manual,1,14982
213,Hyundai,Elite i201.4 CRDI ASTA (O),831499,2018,Hyderabad,Diesel,51343,Manual,2,18496
214,Hyundai,NEW SANTROSPORTZ 1.1,509499,2018,Hyderabad,Petrol,17725,Manual,2,11334
215,Hyundai,Grand i10SPORTZ O 1.2,538499,2017,Hyderabad,Petrol,15854,Manual,2,11979
216,Maruti,DzireVXI,646099,2017,Hyderabad,Petrol,54189,Manual,2,14372
217,Maruti,Wagon R 1.0VXI,364399,2014,Hyderabad,Petrol,59350,Manual,2,8106
218,Maruti,Wagon R 1.0VXI,377899,2015,Hyderabad,Petrol,77898,Manual,2,8406
219,Hyundai,Elite i201.4 CRDI ASTA (O),825799,2018,Hyderabad,Diesel,31111,Manual,1,18369
220,Ford,FREESTYLETITANIUM Plus 1.5 TDCI MT,929099,2021,Hyderabad,Diesel,27282,Manual,1,20667
221,Maruti,Wagon R 1.0VXI,422399,2017,Hyderabad,Petrol,45363,Manual,1,9396
222,Hyundai,i20SPORTZ 1.4 CRDI,524699,2013,Hyderabad,Diesel,89444,Manual,2,11672
223,Hyundai,Elite i201.4 CRDI ASTA (O),827399,2018,Hyderabad,Diesel,52854,Manual,2,18405
224,Hyundai,CretaSX PLUS 1.6 DUAL TONE VTVT,1292299,2018,Hyderabad,Petrol,31788,Manual,1,28746
225,Hyundai,Elite i20ASTA 1.2 (O),732799,2019,Hyderabad,Petrol,60080,Manual,1,16301
226,Maruti,Wagon R 1.0VXI,439399,2018,Hyderabad,Petrol,64160,Manual,1,9774
227,Maruti,Alto 800LXI OPT,350099,2018,Hyderabad,Petrol,39885,Manual,1,7788
228,Volkswagen,Vento1.2 TSI HIGHLINE PLUS AT,995749,2020,Hyderabad,Petrol,18336,Automatic,1,22150
229,Hyundai,EonERA PLUS,361999,2018,Hyderabad,Petrol,21497,Manual,2,8052
230,Datsun,Redi Go1.0 T(O),395699,2021,Hyderabad,Petrol,32921,Manual,2,8802
231,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,558399,2019,Hyderabad,Petrol,38596,Manual,1,12421
232,Maruti,Alto 800LXI,336699,2018,Hyderabad,Petrol,64650,Manual,2,7490
233,Maruti,DzireZDI Plus AMT,886399,2018,Hyderabad,Diesel,35872,Automatic,1,19717
234,Hyundai,Elite i20ASTA 1.2 DUAL TONE,671199,2017,Hyderabad,Petrol,41269,Manual,1,14930
235,Maruti,Wagon R 1.0VXI,370499,2015,Hyderabad,Petrol,75892,Manual,1,8242
236,Hyundai,NEW SANTROSPORTZ 1.1,550120,2019,Hyderabad,Petrol,19126,Manual,1,12237
237,Maruti,Alto 800LXI OPT,322899,2018,Hyderabad,Petrol,33539,Manual,1,7183
238,Hyundai,Creta1.6 CRDI SX PLUS AUTO,1235699,2017,Hyderabad,Diesel,65617,Automatic,1,27487
239,Hyundai,Creta1.6 SX PLUS PETROL,1086599,2017,Hyderabad,Petrol,49210,Manual,1,24171
240,MG,HECTORSHARP DCT PETROL,1674224,2019,Hyderabad,Petrol,18436,Automatic,1,37242
241,Volkswagen,,932199,2020,Hyderabad,Petrol,23135,,1,20736
242,Maruti,Alto 800LXI,347699,2018,Hyderabad,Petrol,22441,Manual,1,7734
243,Honda,CityV MT PETROL,803999,2017,Hyderabad,Petrol,39528,Manual,1,17885
244,Renault,TRIBER1.0 RXL PETROL,659899,2021,Hyderabad,Petrol,41216,Manual,1,14679
245,Honda,CityV MT PETROL,796499,2017,Hyderabad,Petrol,30648,Manual,1,17718
246,Honda,Jazz1.2 V AT,684199,2016,Hyderabad,Petrol,37247,Automatic,1,15220
247,Maruti,Alto 800LXI,332599,2018,Hyderabad,Petrol,67910,Manual,1,7398
248,Maruti,Wagon R 1.0VXI,418099,2016,Hyderabad,Petrol,34946,Manual,2,9300
249,Hyundai,Elite i20ASTA 1.2 DUAL TONE,683899,2017,Hyderabad,Petrol,75444,Manual,1,15213
250,Maruti,Wagon R 1.0VXI,406899,2017,Hyderabad,Petrol,72931,Manual,1,9051
251,Maruti,DzireVXI AMT,708199,2018,Hyderabad,Petrol,52127,Automatic,2,15753
252,Toyota,Corolla AltisVL AT,579299,2009,Hyderabad,Petrol,95772,Automatic,2,12886
253,Hyundai,VENUES MT 1.2 KAPPA,788499,2020,Hyderabad,Petrol,33004,Manual,1,17540
254,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,607399,2019,Hyderabad,Petrol,36442,Manual,1,13511
255,Honda,CityVX CVT PETROL,983199,2017,Hyderabad,Petrol,31638,Automatic,1,21871
256,Maruti,IGNISALPHA 1.2 K12,464199,2018,Hyderabad,Petrol,83770,Manual,2,10326
257,Maruti,Alto 800LXI,336699,2018,Hyderabad,Petrol,44804,Manual,2,7490
258,Honda,Amaze1.2 SMT I VTEC,618599,2018,Hyderabad,Petrol,36890,Manual,1,13760
259,Maruti,Celerio XZxi,566499,2020,Hyderabad,Petrol,29715,Manual,1,12601
260,Hyundai,GRAND I10 NIOS1.2 Kappa Sports MT,637599,2020,Hyderabad,Petrol,20085,Manual,1,14183
261,Ford,Figo Aspire1.2 TITANIUM PETROL,715799,2021,Hyderabad,Petrol,10772,Manual,1,15923
262,Maruti,Alto 800LXI OPT,348199,2018,Hyderabad,Petrol,23018,Manual,1,7745
263,Maruti,Wagon R 1.0VXI,375999,2014,Hyderabad,Petrol,59499,Manual,1,8364
264,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,545399,2018,Hyderabad,Petrol,31463,Manual,1,12132
265,Hyundai,VENUE1.0 TURBO GDI SX+ AT,1189299,2020,Hyderabad,Petrol,10980,Automatic,1,26455
